endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LOG_SOL,r2,chemprop,chemeleon,0.01854073580952116,20,25,0.002007762337390754
LOG_SOL,spearman,chemprop,chemeleon,0.0284855400823083,22,25,5.909009673996519e-06
LOG_SOL,mae,chemprop,chemeleon,-0.013352535378250015,23,25,1.3007052503463151e-08
LOG_HLM,r2,chemprop,chemeleon,0.07778628899250731,25,25,5.932141113426184e-15
LOG_HLM,spearman,chemprop,chemeleon,0.03241066438779647,25,25,7.030543547750728e-11
LOG_HLM,mae,chemprop,chemeleon,-0.026904803753110856,25,25,2.114006610622801e-15
LOG_RLM,r2,chemprop,chemeleon,0.042453923588480054,25,25,4.4025592661319844e-13
LOG_RLM,spearman,chemprop,chemeleon,0.02254125165027543,25,25,3.1594544667214634e-10
LOG_RLM,mae,chemprop,chemeleon,-0.02432006930290672,25,25,1.0291389034399529e-13
LOG_MDR1_ER,r2,chemprop,chemeleon,-0.00344521849537057,10,25,0.25577635804303817
LOG_MDR1_ER,spearman,chemprop,chemeleon,0.005586856655863439,16,25,0.01650710102298378
LOG_MDR1_ER,mae,chemprop,chemeleon,-0.01547047962446946,24,25,1.373397001206484e-11
LOG_HPPB,r2,chemprop,chemeleon,0.06367034918931218,19,25,0.0013087158385575103
LOG_HPPB,spearman,chemprop,chemeleon,0.07408740306637834,24,25,9.829714324237611e-07
LOG_HPPB,mae,chemprop,chemeleon,-0.025499565360909058,20,25,0.0006788088977523942
LOG_RPPB,r2,chemprop,chemeleon,0.042484253618875506,16,25,0.030645597622497096
LOG_RPPB,spearman,chemprop,chemeleon,0.05791785386144066,23,25,4.730092918841147e-06
LOG_RPPB,mae,chemprop,chemeleon,-0.017346837683457617,17,25,0.02227710905508312
LOG_SOL,r2,lgbm,chemeleon,0.08857523402075078,25,25,1.888049739973897e-16
LOG_SOL,spearman,lgbm,chemeleon,0.03741093814447533,24,25,1.0207107650303155e-08
LOG_SOL,mae,lgbm,chemeleon,-0.04280567224590016,25,25,8.20648481586379e-18
LOG_HLM,r2,lgbm,chemeleon,0.14788828917907193,25,25,2.650075768247052e-23
LOG_HLM,spearman,lgbm,chemeleon,0.11796734972233862,25,25,6.5060316084907894e-24
